age,monthly_income,debt_ratio,credit_utilization,transaction_count_30d,avg_transaction_amount,employment_type,education_level,region,device_type,last_payment_delay_days,internal_score_v2,target
30.9,95494.49,0.17,0.231,35,114.5,full_time,high_school,urban,desktop,2.03,635.2,0
52.4,26790.09,0.247,0.559,43,83.76,self_employed,bachelor,urban,mobile,1.35,568.0,0
56.7,19804.99,0.382,0.183,41,73.23,self_employed,high_school,urban,tablet,0.4,630.7,0
40.8,34330.85,0.436,0.369,37,28.81,full_time,bachelor,urban,desktop,0.12,558.2,0
54.4,53123.02,0.12,0.709,44,98.81,unemployed,bachelor,urban,mobile,0.13,625.9,0
46.1,85748.21,0.365,0.364,36,93.53,full_time,master,rural,desktop,0.76,606.7,0
51.2,23581.91,0.61,0.342,33,43.3,self_employed,bachelor,suburban,desktop,0.46,529.1,0
47.3,20030.01,0.545,0.493,54,214.42,full_time,high_school,urban,mobile,13.51,496.3,1
32.6,68370.36,0.466,0.272,50,87.6,unemployed,bachelor,urban,tablet,0.61,605.3,0
36.4,87260.43,0.566,0.174,40,115.74,full_time,bachelor,suburban,mobile,1.49,566.0,0
43.7,70482.11,0.224,0.581,54,155.06,full_time,master,urban,mobile,2.0,543.0,0
60.6,52953.71,0.307,0.511,39,30.13,full_time,high_school,urban,mobile,1.0,580.2,0
35.8,28495.43,0.202,0.564,46,73.06,full_time,bachelor,rural,mobile,0.17,606.5,1
47.5,38700.18,0.24,0.577,57,97.0,full_time,bachelor,rural,mobile,2.35,570.3,0
27.0,34876.0,0.47,0.602,43,13.53,full_time,bachelor,suburban,mobile,6.79,523.3,0
35.9,20865.81,0.459,0.679,37,75.69,full_time,high_school,urban,mobile,0.59,538.2,0
24.0,36291.77,0.046,0.515,40,76.94,full_time,bachelor,urban,mobile,3.21,622.2,0
42.1,32377.62,0.176,0.488,49,10.0,unemployed,phd,urban,desktop,0.47,628.7,0
33.9,21779.29,0.425,0.298,39,135.58,full_time,master,urban,desktop,3.27,561.7,0
44.1,32227.72,0.048,0.337,38,91.81,contract,high_school,suburban,mobile,7.82,606.7,0
45.7,25872.6,0.368,0.174,36,123.19,contract,bachelor,urban,mobile,6.93,644.7,0
64.3,71966.16,0.324,0.514,43,45.77,full_time,high_school,urban,mobile,3.65,564.1,0
41.4,21302.76,0.278,0.586,34,130.63,contract,high_school,urban,mobile,3.28,575.5,0
44.3,18014.33,0.33,0.402,28,99.22,self_employed,high_school,rural,desktop,4.87,612.6,0
25.1,12059.09,0.612,0.772,60,132.47,self_employed,phd,urban,desktop,5.3,462.9,1
34.3,37883.56,0.311,0.145,34,91.58,self_employed,master,suburban,mobile,0.37,643.0,0
52.8,32417.75,0.261,0.715,47,26.18,self_employed,phd,rural,mobile,1.44,542.2,0
47.4,15822.61,0.143,0.461,48,110.6,self_employed,bachelor,rural,mobile,1.19,601.4,0
46.9,59491.3,0.506,0.22,44,61.49,full_time,master,urban,mobile,2.29,546.4,0
56.4,60141.79,0.45,0.324,43,69.25,contract,bachelor,rural,mobile,6.05,580.1,0
56.6,79709.22,0.397,0.363,41,65.05,full_time,master,urban,desktop,2.16,602.2,0
29.1,44345.48,0.406,0.484,42,118.48,self_employed,high_school,suburban,desktop,0.13,548.9,0
51.9,48360.17,0.369,0.363,32,176.81,full_time,master,urban,desktop,1.51,593.1,0
37.2,30618.17,0.331,0.482,44,97.89,full_time,bachelor,urban,desktop,2.51,565.7,0
28.8,22708.29,0.309,0.194,44,57.94,full_time,high_school,urban,mobile,3.08,673.8,0
48.8,46559.02,0.365,0.3,43,84.88,full_time,bachelor,urban,mobile,0.96,602.6,0
47.2,47347.96,0.277,0.426,43,154.89,self_employed,bachelor,urban,tablet,3.27,598.4,0
55.0,30644.03,0.134,0.187,40,86.19,full_time,high_school,rural,mobile,1.58,687.3,0
36.6,54488.98,0.215,0.146,45,51.9,full_time,high_school,urban,mobile,6.88,642.6,0
51.2,52071.83,0.392,0.433,47,62.58,full_time,master,suburban,mobile,2.3,565.0,0
54.3,39054.11,0.39,0.236,43,131.61,full_time,high_school,suburban,mobile,1.64,571.3,0
29.1,52581.95,0.163,0.588,42,105.53,full_time,master,urban,mobile,1.34,567.0,0
55.4,71643.84,0.176,0.702,49,47.56,self_employed,master,suburban,mobile,0.33,575.1,0
39.1,64488.94,0.328,0.314,37,82.87,full_time,bachelor,suburban,desktop,1.35,582.1,0
54.7,44587.25,0.178,0.205,36,68.46,full_time,high_school,rural,mobile,5.45,638.3,0
50.4,47541.05,0.18,0.212,43,66.55,unemployed,high_school,urban,desktop,0.37,657.5,0
45.9,18114.15,0.163,0.0,44,70.49,unemployed,bachelor,urban,tablet,1.0,696.2,0
51.0,25882.92,0.246,0.463,53,82.22,full_time,high_school,suburban,mobile,0.56,624.6,0
50.9,12086.15,0.528,0.607,81,189.65,contract,master,suburban,mobile,1.13,571.2,1
41.8,45944.0,0.35,0.697,40,102.5,full_time,bachelor,suburban,tablet,1.86,554.6,0
53.3,61432.79,0.214,0.294,47,115.13,contract,bachelor,rural,mobile,0.64,608.0,0
57.8,49060.18,0.283,0.384,45,86.77,full_time,high_school,urban,mobile,0.56,606.4,0
36.2,35794.33,0.33,0.35,49,108.6,full_time,bachelor,rural,mobile,2.13,572.8,0
46.9,29448.53,0.224,0.328,39,126.98,unemployed,master,rural,mobile,0.2,583.3,0
51.5,120652.83,0.182,0.388,42,66.41,contract,high_school,rural,desktop,3.07,617.4,0
49.8,21584.7,0.652,0.599,65,132.83,full_time,master,urban,desktop,33.61,408.7,1
50.0,56755.36,0.441,0.569,41,124.76,self_employed,bachelor,suburban,desktop,3.04,516.4,0
42.9,27985.0,0.358,0.075,32,110.41,self_employed,bachelor,suburban,mobile,1.91,641.5,0
34.1,27698.12,0.37,0.148,41,126.54,full_time,high_school,suburban,mobile,2.69,635.4,0
27.9,18128.16,0.746,0.984,70,228.81,full_time,bachelor,suburban,mobile,19.78,362.4,1
59.7,54422.07,0.405,0.556,47,164.61,full_time,master,urban,mobile,0.63,589.5,0
51.3,69586.88,0.261,0.882,36,111.2,full_time,bachelor,rural,mobile,0.64,529.2,0
29.6,21117.46,0.18,0.569,39,42.05,full_time,bachelor,urban,tablet,1.12,627.5,0
53.6,34377.52,0.336,0.169,41,107.97,full_time,bachelor,rural,mobile,0.39,625.1,0
47.9,42103.88,0.177,0.612,42,57.75,full_time,bachelor,urban,mobile,1.57,593.9,0
33.1,49406.54,0.167,0.255,43,144.17,contract,high_school,urban,desktop,0.89,648.9,0
55.7,63807.25,0.205,0.352,31,133.11,full_time,master,rural,desktop,1.46,599.0,0
43.6,29145.46,0.393,0.365,43,102.14,full_time,high_school,urban,desktop,4.15,607.4,0
59.5,14826.04,0.253,0.045,36,195.69,full_time,bachelor,urban,mobile,1.17,654.5,0
29.4,35322.72,0.287,0.584,44,130.28,contract,master,urban,desktop,0.24,621.1,0
45.5,26872.6,0.359,0.514,45,11.98,contract,high_school,suburban,tablet,4.91,533.7,0
42.0,63407.68,0.374,0.245,43,75.47,full_time,high_school,urban,desktop,6.51,595.3,0
59.6,71883.42,0.321,0.339,49,109.34,unemployed,high_school,urban,mobile,0.14,598.4,0
60.2,53818.91,0.166,0.652,44,10.0,self_employed,bachelor,urban,desktop,1.41,567.7,0
51.4,34983.5,0.292,0.342,43,40.75,full_time,bachelor,suburban,mobile,0.55,606.7,0
49.2,32412.55,0.302,0.372,42,56.71,self_employed,bachelor,urban,mobile,0.37,602.0,0
52.3,77098.95,0.29,0.248,52,129.53,full_time,bachelor,suburban,desktop,2.59,591.0,0
60.8,30889.3,0.313,0.551,35,57.04,contract,bachelor,urban,desktop,2.45,535.2,0
34.7,31321.29,0.635,0.628,57,113.34,self_employed,bachelor,urban,mobile,2.77,517.5,1
42.3,84661.84,0.141,0.284,32,134.29,full_time,bachelor,urban,mobile,0.31,651.2,0
45.0,29375.51,0.566,0.579,75,202.86,contract,high_school,urban,mobile,24.59,458.0,1
23.9,53362.32,0.246,0.571,45,28.04,full_time,bachelor,suburban,tablet,2.43,590.2,0
55.6,40740.53,0.346,0.608,42,142.03,full_time,bachelor,urban,mobile,4.17,564.6,0
37.1,84948.31,0.132,0.325,34,98.21,full_time,bachelor,urban,tablet,2.61,630.3,0
44.6,34479.61,0.164,0.416,42,99.47,self_employed,master,rural,tablet,7.45,590.5,0
39.6,11137.65,0.33,0.053,34,101.98,full_time,high_school,rural,mobile,0.5,631.9,0
62.8,51822.56,0.035,0.629,44,113.39,full_time,bachelor,urban,mobile,2.09,591.0,0
44.7,37848.28,0.405,0.26,41,136.38,full_time,master,rural,mobile,2.32,614.4,0
54.4,32389.76,0.22,0.74,41,115.72,full_time,bachelor,urban,tablet,2.83,548.1,0
43.8,24189.55,0.222,0.355,40,41.67,full_time,high_school,urban,mobile,3.96,624.9,0
50.8,46624.02,0.063,0.368,48,29.0,full_time,phd,suburban,mobile,0.04,665.4,0
40.7,44715.27,0.194,0.339,53,76.58,full_time,bachelor,rural,mobile,1.19,635.9,0
59.7,50272.27,0.212,0.424,43,98.34,unemployed,high_school,urban,desktop,0.33,639.3,0
38.3,19696.66,0.456,0.67,63,83.58,unemployed,high_school,rural,mobile,6.51,499.4,1
58.7,16691.84,0.391,0.049,48,32.81,self_employed,master,rural,mobile,2.44,628.9,0
69.4,24983.74,0.499,0.234,44,73.73,full_time,master,rural,mobile,0.54,610.1,0
42.5,23699.46,0.675,0.464,59,84.14,unemployed,bachelor,urban,mobile,0.39,494.4,1
45.3,25522.01,0.264,0.567,39,110.48,contract,bachelor,suburban,mobile,1.76,580.2,0
36.1,25784.01,0.273,0.221,42,124.57,full_time,bachelor,urban,desktop,2.15,615.8,0
44.8,42259.6,0.197,0.331,36,94.77,full_time,bachelor,urban,mobile,2.02,649.8,0
65.9,75244.14,0.232,0.179,38,66.61,contract,bachelor,rural,mobile,2.18,616.8,0
45.7,48426.99,0.222,0.088,31,98.78,full_time,bachelor,suburban,mobile,3.56,625.7,0
44.6,44619.67,0.291,0.193,37,94.82,full_time,master,rural,mobile,0.66,614.2,1
69.4,26514.84,0.393,0.283,36,54.39,self_employed,high_school,suburban,mobile,1.84,597.6,0
42.1,34800.67,0.131,0.511,40,114.33,unemployed,bachelor,rural,desktop,0.4,605.6,0
45.0,22376.2,0.026,0.442,38,70.96,self_employed,master,suburban,mobile,0.2,658.8,0
52.6,39905.88,0.355,0.612,34,100.92,self_employed,master,suburban,mobile,2.22,603.6,0
47.9,63053.63,0.564,0.384,45,67.46,unemployed,phd,urban,tablet,0.82,582.0,0
40.4,44319.68,0.331,0.554,39,79.13,full_time,master,rural,mobile,3.58,569.1,0
32.4,54139.94,0.435,0.545,34,64.98,full_time,high_school,urban,mobile,1.55,559.7,0
42.4,25488.42,0.452,0.225,46,74.12,full_time,phd,urban,desktop,1.56,646.0,0
43.4,57560.38,0.557,0.403,27,73.58,full_time,bachelor,suburban,tablet,1.28,535.9,0
53.6,33277.35,0.373,0.569,35,100.38,full_time,bachelor,suburban,desktop,0.73,588.7,0
46.1,32669.91,0.269,0.46,40,103.12,full_time,high_school,rural,desktop,2.55,580.5,0
37.9,68902.54,0.088,0.463,49,103.34,full_time,bachelor,urban,desktop,6.69,610.7,0
26.2,96996.51,0.133,0.234,43,60.32,full_time,bachelor,suburban,desktop,0.59,686.5,0
48.1,15190.28,0.754,0.961,62,88.73,self_employed,high_school,urban,mobile,5.78,362.1,1
43.7,33463.45,0.139,0.376,33,133.72,unemployed,master,urban,desktop,1.69,642.1,0
53.9,38693.32,0.466,0.589,48,82.22,full_time,bachelor,urban,tablet,4.06,522.6,0
32.7,20171.99,0.23,0.331,55,106.95,contract,bachelor,urban,desktop,5.57,636.6,0
40.8,35480.09,0.242,0.141,56,38.8,full_time,high_school,suburban,mobile,0.57,663.4,0
62.6,23603.08,0.415,0.372,41,10.0,contract,master,rural,mobile,0.54,619.6,0
43.7,56233.38,0.225,0.852,46,20.91,full_time,bachelor,suburban,desktop,4.54,529.3,0
53.5,29492.8,0.515,0.122,50,73.16,contract,bachelor,suburban,mobile,2.68,648.1,0
35.9,110384.35,0.107,0.182,49,121.57,self_employed,high_school,urban,mobile,0.72,675.6,0
56.4,37446.92,0.145,0.633,42,120.63,full_time,bachelor,urban,desktop,0.11,564.5,0
31.5,10818.23,0.821,0.927,54,152.57,unemployed,bachelor,suburban,mobile,8.47,402.2,1
40.7,49173.88,0.54,0.289,43,65.09,full_time,master,suburban,mobile,2.63,536.5,0
33.9,41265.88,0.269,0.418,35,95.56,full_time,master,urban,tablet,2.63,606.0,0
61.4,45580.53,0.434,0.435,49,67.22,full_time,high_school,suburban,desktop,0.02,543.5,0
45.0,65099.45,0.35,0.378,34,49.97,contract,bachelor,suburban,desktop,1.66,555.7,0
32.2,39291.27,0.201,0.314,36,52.43,self_employed,high_school,suburban,desktop,0.2,638.5,0
44.5,34519.81,0.352,0.547,38,114.19,contract,master,urban,mobile,4.06,574.1,0
41.6,33898.59,0.265,0.301,49,121.38,full_time,high_school,urban,desktop,0.85,655.5,0
48.3,46823.27,0.417,0.372,38,52.0,contract,master,urban,mobile,0.97,554.7,0
42.0,44684.69,0.422,0.438,35,95.1,contract,bachelor,urban,tablet,0.04,562.4,0
23.1,60186.6,0.607,0.0,43,89.35,full_time,high_school,suburban,mobile,0.95,590.5,0
49.9,42342.51,0.529,0.371,37,135.33,contract,high_school,urban,mobile,2.85,580.7,0
42.6,66489.93,0.512,0.158,30,101.02,full_time,high_school,suburban,tablet,0.06,547.3,0
57.4,78598.45,0.35,0.492,44,112.14,full_time,bachelor,urban,mobile,0.72,541.7,0
50.2,44024.19,0.396,0.474,34,56.02,unemployed,bachelor,suburban,desktop,1.07,552.3,0
38.4,46375.05,0.377,0.364,35,111.98,self_employed,master,urban,desktop,4.71,601.8,0
46.4,34797.55,0.259,0.353,40,97.16,contract,high_school,urban,tablet,4.8,619.4,0
52.7,21980.89,0.25,0.0,50,63.07,full_time,master,urban,tablet,3.73,641.5,0
53.0,29996.99,0.085,0.387,42,10.13,contract,master,urban,mobile,1.56,636.3,0
57.6,29548.46,0.348,0.334,44,52.95,full_time,bachelor,urban,desktop,1.59,587.1,0
46.0,23686.38,0.207,0.564,45,77.51,full_time,master,urban,mobile,2.21,568.7,0
23.6,33947.82,0.258,0.449,53,116.86,self_employed,high_school,suburban,mobile,1.56,597.3,0
38.7,38731.25,0.628,0.641,67,87.88,unemployed,bachelor,urban,tablet,20.35,431.1,1
50.4,26541.85,0.132,0.427,36,122.42,full_time,master,rural,desktop,0.67,620.9,0
40.6,87262.94,0.119,0.564,49,121.63,self_employed,high_school,urban,mobile,0.88,623.5,0
44.1,42147.71,0.306,0.517,47,88.88,contract,high_school,suburban,desktop,5.26,545.2,0
42.4,27142.33,0.0,0.228,37,48.42,full_time,bachelor,suburban,desktop,5.16,645.5,0
30.7,25400.79,0.65,0.756,76,96.0,unemployed,high_school,urban,mobile,7.8,467.8,1
21.8,16281.96,0.02,0.624,37,86.29,self_employed,bachelor,urban,mobile,0.02,658.1,0
47.2,104194.38,0.337,0.189,52,111.01,full_time,bachelor,rural,mobile,0.22,640.4,0
51.2,28249.84,0.147,0.294,49,49.4,full_time,high_school,urban,desktop,2.9,647.8,0
53.3,32731.76,0.257,0.49,46,97.55,full_time,high_school,urban,mobile,3.57,568.5,0
50.6,68090.29,0.273,0.051,46,125.11,full_time,bachelor,urban,desktop,0.23,652.4,0
42.9,58065.95,0.466,0.447,52,63.78,self_employed,high_school,suburban,mobile,1.38,565.7,0
50.6,24661.35,0.164,0.1,45,105.79,full_time,high_school,suburban,mobile,3.59,682.7,0
38.4,34226.16,0.218,0.517,59,119.59,contract,bachelor,urban,mobile,1.12,625.6,0
34.8,93364.19,0.171,0.169,47,109.45,self_employed,high_school,urban,desktop,0.23,681.3,0
22.6,49866.1,0.561,0.416,47,108.57,full_time,high_school,urban,mobile,0.37,569.6,0
44.3,31677.71,0.413,0.234,46,137.61,full_time,bachelor,urban,desktop,0.24,643.2,0
46.2,66961.78,0.665,0.539,48,30.6,full_time,high_school,urban,desktop,3.19,481.2,0
18.0,36076.11,0.252,0.629,50,110.73,full_time,bachelor,urban,mobile,0.72,570.2,0
42.5,65372.62,0.218,0.334,45,94.77,unemployed,high_school,urban,desktop,0.27,607.1,0
37.8,36744.14,0.314,0.351,46,119.72,full_time,phd,suburban,tablet,0.61,632.0,0
54.0,81726.63,0.323,0.526,38,66.25,full_time,master,urban,mobile,4.22,549.6,0
49.0,38448.09,0.261,0.079,51,86.09,self_employed,phd,urban,mobile,4.45,664.5,0
49.5,39858.99,0.255,0.389,42,87.58,full_time,bachelor,rural,mobile,2.61,597.6,0
59.6,16082.32,0.541,0.428,50,90.75,contract,master,urban,desktop,1.16,520.6,0
46.1,56621.28,0.208,0.372,35,50.19,full_time,master,rural,mobile,0.58,648.2,0
33.9,45737.83,0.256,0.209,49,81.4,full_time,bachelor,suburban,mobile,0.56,680.2,0
45.0,44870.68,0.244,0.091,38,109.96,full_time,bachelor,urban,mobile,4.35,624.0,0
54.2,67989.2,0.271,0.436,49,117.42,full_time,high_school,suburban,desktop,0.1,631.8,0
29.2,23096.69,0.183,0.407,54,79.12,contract,bachelor,urban,tablet,1.41,616.3,0
47.8,16998.77,0.125,0.185,49,148.46,full_time,bachelor,rural,mobile,9.84,620.4,0
40.2,46857.99,0.251,0.457,43,83.4,contract,master,urban,desktop,0.66,607.6,0
63.5,21436.84,0.118,0.428,45,89.17,full_time,bachelor,rural,mobile,0.3,649.5,0
43.9,60171.22,0.316,0.566,35,37.33,full_time,high_school,urban,mobile,1.7,578.0,0
36.3,36103.35,0.223,0.42,46,113.28,full_time,bachelor,urban,mobile,2.91,579.8,0
43.0,31922.19,0.561,0.545,44,102.32,full_time,phd,urban,mobile,4.94,501.7,0
64.5,50482.54,0.45,0.34,53,114.89,unemployed,bachelor,rural,mobile,5.43,536.1,0
42.7,27688.13,0.624,0.366,38,145.72,full_time,bachelor,suburban,desktop,1.26,536.1,0
36.5,50004.59,0.345,0.357,27,121.64,contract,bachelor,rural,mobile,2.25,574.7,0
35.8,52554.26,0.284,0.452,38,106.92,full_time,bachelor,urban,mobile,1.29,580.1,0
58.0,54883.44,0.433,0.487,37,105.82,unemployed,master,rural,desktop,3.67,583.2,0
33.2,30714.18,0.352,0.452,39,128.27,full_time,high_school,rural,tablet,0.01,627.1,0
42.1,37908.83,0.494,0.392,46,42.6,full_time,bachelor,urban,mobile,0.02,546.2,0
49.7,53312.43,0.264,0.629,38,97.66,full_time,master,urban,mobile,6.94,536.7,0
46.0,25903.05,0.514,0.635,46,118.79,self_employed,high_school,urban,mobile,0.77,500.0,0
54.8,55315.32,0.331,0.258,38,58.9,self_employed,bachelor,urban,mobile,3.7,612.3,0
56.0,32838.43,0.32,0.271,35,79.55,contract,master,urban,tablet,2.14,598.2,0
48.9,23233.47,0.503,0.344,39,109.8,full_time,phd,suburban,desktop,0.53,589.9,0
36.2,37466.37,0.261,0.253,57,98.78,self_employed,master,rural,desktop,0.61,630.5,0
56.1,49261.48,0.375,0.17,40,147.85,contract,bachelor,urban,mobile,1.86,648.4,0
26.3,49402.25,0.145,0.751,48,91.09,contract,bachelor,suburban,mobile,1.12,592.3,0
27.7,52456.13,0.455,0.0,44,146.6,contract,master,urban,mobile,1.99,606.8,0
48.5,45898.1,0.357,0.388,41,89.9,full_time,bachelor,rural,desktop,0.9,596.9,0
46.2,30232.23,0.199,0.37,48,63.37,contract,bachelor,urban,mobile,0.46,633.5,0
40.6,48269.92,0.327,0.329,34,27.55,full_time,phd,rural,mobile,0.89,585.4,0
29.0,27591.41,0.34,0.431,47,104.02,full_time,bachelor,urban,tablet,1.57,602.1,0
45.0,41027.72,0.317,0.302,54,75.32,full_time,master,urban,desktop,2.37,625.9,0
41.6,32855.7,0.482,0.241,45,80.64,full_time,bachelor,rural,mobile,5.12,553.4,0
66.8,28402.24,0.353,0.583,32,66.93,full_time,bachelor,urban,desktop,2.89,568.8,0
31.9,77694.89,0.333,0.101,49,73.03,full_time,master,suburban,mobile,0.86,662.7,0
51.7,43802.5,0.044,0.232,52,69.55,self_employed,high_school,urban,mobile,0.86,677.7,0
43.0,15594.61,0.182,0.552,31,94.63,unemployed,bachelor,urban,mobile,0.58,594.9,0
38.3,24993.92,0.357,0.541,29,64.7,full_time,high_school,urban,desktop,0.99,524.6,0
45.2,20312.75,0.334,0.299,37,132.39,full_time,bachelor,rural,desktop,8.15,595.9,0
47.9,54577.1,0.444,0.234,46,120.88,full_time,bachelor,urban,desktop,4.41,619.1,0
29.0,53157.62,0.292,0.268,35,84.09,unemployed,master,urban,mobile,0.61,592.2,0
44.5,23376.07,0.492,0.236,37,114.65,self_employed,bachelor,urban,mobile,0.62,551.4,0
37.7,42670.52,0.198,0.387,39,33.71,self_employed,bachelor,urban,mobile,2.25,605.3,0
53.7,45218.57,0.048,0.307,45,43.78,full_time,high_school,suburban,tablet,1.07,650.5,0
65.3,45922.63,0.421,0.427,34,85.93,unemployed,master,rural,mobile,2.88,517.0,0
53.1,37091.3,0.255,0.314,49,77.18,contract,bachelor,suburban,mobile,3.18,623.5,0
34.6,36053.18,0.549,0.427,34,52.29,full_time,master,urban,mobile,1.23,562.6,0
21.6,33799.01,0.355,0.498,39,71.52,unemployed,high_school,suburban,desktop,3.86,563.4,0
47.5,22850.56,0.147,0.371,46,86.45,full_time,phd,urban,mobile,6.52,596.7,0
28.1,23168.04,0.235,0.497,39,172.59,self_employed,master,rural,desktop,6.0,616.2,0
43.0,66276.64,0.162,0.283,38,92.02,full_time,high_school,suburban,tablet,0.02,635.1,0
56.2,25072.08,0.287,0.431,30,60.14,full_time,high_school,urban,mobile,0.6,554.8,0
36.4,35057.97,0.247,0.479,47,166.79,full_time,high_school,urban,mobile,1.24,590.9,0
50.0,36227.71,0.269,0.102,42,99.96,full_time,master,urban,mobile,1.78,647.8,0
26.1,48191.55,0.365,0.247,38,126.21,full_time,master,urban,mobile,0.04,620.5,0
54.0,114408.26,0.435,0.545,44,86.64,contract,bachelor,suburban,mobile,2.99,572.9,0
55.5,26011.36,0.407,0.226,38,107.43,self_employed,master,urban,mobile,0.77,616.8,0
34.2,23252.05,0.169,0.546,38,72.14,full_time,phd,urban,desktop,1.66,576.2,0
38.7,30746.85,0.308,0.367,40,85.07,full_time,master,urban,desktop,2.42,629.5,0
41.8,46041.62,0.528,0.655,46,104.81,full_time,master,urban,desktop,0.89,531.8,0
56.8,54520.6,0.196,0.138,42,58.57,self_employed,bachelor,rural,mobile,0.46,686.0,0
32.5,30419.53,0.058,0.367,36,90.6,full_time,bachelor,urban,mobile,0.19,640.8,0
31.3,30236.45,0.034,0.156,44,46.45,full_time,phd,urban,mobile,0.68,688.4,0
27.4,28532.01,0.316,0.608,33,83.39,self_employed,high_school,suburban,desktop,0.6,561.9,0
73.4,114976.95,0.422,0.317,37,29.06,full_time,master,suburban,mobile,0.72,603.3,0
53.4,57951.44,0.216,0.182,48,30.17,full_time,high_school,suburban,mobile,1.35,624.6,0
42.3,34208.08,0.0,0.319,40,66.38,full_time,high_school,urban,mobile,0.56,660.3,0
67.5,45777.18,0.169,0.24,49,106.97,full_time,high_school,rural,mobile,0.71,658.2,0
28.7,38460.1,0.599,0.02,41,107.47,full_time,bachelor,urban,desktop,0.55,558.4,0
36.9,65880.48,0.306,0.519,49,57.27,full_time,high_school,urban,desktop,0.59,600.6,0
28.9,28762.93,0.234,0.337,43,52.39,full_time,master,suburban,mobile,4.98,591.7,0
50.7,46181.76,0.276,0.542,39,53.55,contract,high_school,rural,mobile,0.36,615.0,0
41.5,51723.96,0.252,0.527,54,63.06,full_time,high_school,suburban,tablet,0.41,589.2,0
55.8,18307.83,0.395,0.229,40,39.87,self_employed,master,suburban,mobile,1.19,636.4,0
21.9,26326.61,0.472,0.234,34,122.58,unemployed,bachelor,urban,desktop,0.15,575.6,0
36.1,13182.5,0.816,0.736,83,77.85,self_employed,master,urban,mobile,3.91,427.9,1
73.6,47447.72,0.534,0.308,44,107.89,self_employed,high_school,rural,mobile,3.53,530.2,0
51.5,29316.92,0.27,0.195,34,149.22,full_time,high_school,urban,desktop,5.28,605.4,0
51.6,41714.84,0.223,0.069,40,68.03,full_time,high_school,urban,tablet,2.38,698.7,0
34.3,42441.81,0.261,0.362,47,147.22,full_time,bachelor,suburban,mobile,2.02,627.9,0
37.1,72792.01,0.249,0.236,54,82.74,full_time,high_school,rural,desktop,1.41,631.5,0
44.6,62390.07,0.176,0.458,28,119.38,full_time,high_school,rural,desktop,1.41,597.0,0
41.7,12180.72,0.481,1.0,81,137.73,contract,phd,suburban,desktop,1.58,492.6,1
52.5,55059.72,0.295,0.115,53,55.75,full_time,bachelor,suburban,mobile,0.13,647.4,0
53.4,44138.43,0.43,0.379,39,67.39,contract,bachelor,urban,mobile,1.0,599.0,0
51.8,71311.02,0.298,0.382,41,97.75,contract,high_school,suburban,mobile,0.31,604.9,0
45.7,43682.31,0.629,0.395,35,74.04,full_time,master,suburban,desktop,4.15,494.7,0
34.8,57666.56,0.153,0.459,34,53.13,full_time,high_school,suburban,tablet,2.96,623.3,0
38.1,31164.05,0.658,0.694,62,149.68,self_employed,phd,urban,mobile,6.94,464.9,1
47.3,66654.49,0.364,0.672,43,67.32,full_time,master,rural,mobile,1.77,521.1,0
63.5,17219.71,0.135,0.54,32,91.92,full_time,bachelor,rural,desktop,0.05,618.1,0
49.7,45948.05,0.246,0.83,33,129.22,contract,bachelor,suburban,desktop,1.9,538.7,0
38.9,23590.67,0.337,0.344,47,89.29,self_employed,bachelor,suburban,tablet,0.88,650.7,0
43.1,20799.68,0.199,0.389,48,151.91,self_employed,phd,urban,mobile,0.41,603.3,0
40.4,28534.06,0.478,0.804,65,98.62,full_time,high_school,suburban,mobile,9.07,476.6,1
47.7,60312.24,0.242,0.595,44,133.35,full_time,bachelor,urban,desktop,0.41,563.1,0
55.6,35584.74,0.294,0.54,43,109.95,full_time,bachelor,urban,desktop,0.58,571.8,0
26.7,28293.4,0.206,0.181,43,96.16,self_employed,bachelor,urban,mobile,0.45,656.4,0
33.9,72217.1,0.209,0.504,40,106.48,self_employed,bachelor,urban,mobile,1.58,558.3,0
43.9,27868.98,0.343,0.122,47,66.52,full_time,bachelor,urban,mobile,3.18,614.2,0
63.3,24972.54,0.492,0.675,52,95.45,full_time,phd,urban,mobile,1.95,505.7,0
35.9,22727.13,0.033,0.45,39,91.36,self_employed,bachelor,urban,mobile,0.36,645.8,0
37.5,54797.72,0.485,0.163,52,32.5,full_time,bachelor,suburban,desktop,3.69,626.5,0
56.8,23579.4,0.22,0.474,58,124.28,full_time,high_school,urban,mobile,1.61,620.9,0
49.6,18964.87,0.497,0.088,48,119.72,full_time,high_school,suburban,tablet,4.79,580.1,0
47.4,96941.32,0.167,0.132,39,71.38,full_time,bachelor,urban,mobile,1.52,641.3,0
43.5,35719.11,0.839,0.584,72,131.98,self_employed,high_school,urban,desktop,10.06,426.6,1
45.4,54268.43,0.336,0.335,37,68.48,contract,bachelor,urban,mobile,2.21,577.4,0
52.7,62779.8,0.392,0.421,40,121.99,unemployed,bachelor,rural,desktop,0.34,586.8,0
33.9,48959.47,0.463,0.354,48,75.82,full_time,high_school,suburban,desktop,1.82,578.2,0
68.3,67507.81,0.246,0.246,39,38.24,contract,bachelor,urban,mobile,0.03,695.9,0
38.8,43819.0,0.422,0.634,41,131.64,full_time,high_school,suburban,mobile,0.2,543.8,0
51.9,12894.7,0.56,0.261,48,149.9,full_time,master,urban,mobile,0.3,555.9,0
43.0,68488.1,0.244,0.682,34,53.73,full_time,bachelor,suburban,mobile,1.5,551.1,0
22.5,31619.81,0.203,0.273,40,59.71,contract,high_school,suburban,mobile,2.58,635.3,0
